Category	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
A5SS	ENSBTAG00000007843	ITIH1	chr22	-	48103998	48104159	48104004	48104159	48103434	48103455
A5SS	ENSBTAG00000014429	KMT2D	chr5	+	30771051	30771165	30771051	30771162	30771512	30771623
A5SS	ENSBTAG00000014429	KMT2D	chr5	+	30773551	30773802	30773551	30773661	30775200	30775320
A5SS	ENSBTAG00000014429	KMT2D	chr5	+	30775407	30775521	30775407	30775512	30775735	30775866
A5SS	ENSBTAG00000014429	KMT2D	chr5	+	30776283	30776643	30776283	30776349	30776802	30776940
A5SS	ENSBTAG00000018806	PSRC1	chr3	+	34125514	34126118	34125514	34125754	34126209	34126267
A5SS	ENSBTAG00000008935	PFDN5	chr5	-	26728268	26728378	26728275	26728378	26726564	26726670
A5SS	ENSBTAG00000008935	PFDN5	chr5	-	26728268	26728378	26728275	26728378	26726758	26726833
A5SS	ENSBTAG00000008935	PFDN5	chr5	-	26728268	26728378	26728275	26728378	26726758	26726858
A5SS	ENSBTAG00000008935	PFDN5	chr5	-	26728268	26728378	26728275	26728378	26727947	26727979
A5SS	ENSBTAG00000018661	TMC6	chr19	+	54031238	54031561	54031238	54031344	54031791	54032049
A5SS	ENSBTAG00000018661	TMC6	chr19	+	54031238	54031561	54031238	54031344	54032335	54032526
A5SS	ENSBTAG00000032059	TGM5	chr21	-	55026626	55026872	55026759	55026872	55025693	55025812
A5SS	ENSBTAG00000010716	FRAS1	chr6	+	93004949	93005084	93004949	93005078	93025830	93025974
A5SS	ENSBTAG00000010716	FRAS1	chr6	+	93124807	93125078	93124807	93125072	93128870	93128955
A5SS	ENSBTAG00000010716	FRAS1	chr6	+	93133094	93133421	93133094	93133403	93144867	93145021
A5SS	ENSBTAG00000031898	CNTNAP5	chr2	+	76414135	76414279	76414135	76414276	76453021	76453286
A5SS	ENSBTAG00000031898	CNTNAP5	chr2	+	76717102	76717259	76717102	76717181	76737911	76738022
A5SS	ENSBTAG00000012394	CCDC85A	chr11	+	38849939	38850984	38849939	38850897	38858799	38859748
A5SS	ENSBTAG00000012394	CCDC85A	chr11	+	38849939	38850984	38849939	38850897	39024623	39024700
A5SS	ENSBTAG00000010015	NMRAL1	chr25	-	3613811	3614300	3614013	3614300	3610830	3611080
A5SS	ENSBTAG00000008595	PPHLN1	chr5	-	38354530	38354903	38354534	38354903	38313941	38314003
A5SS	ENSBTAG00000008595	PPHLN1	chr5	-	38354530	38354903	38354534	38354903	38316603	38316768
A5SS	ENSBTAG00000008595	PPHLN1	chr5	-	38354530	38354903	38354534	38354903	38338759	38338851
A5SS	ENSBTAG00000008595	PPHLN1	chr5	-	38354530	38354903	38354534	38354903	38341868	38341949
A5SS	ENSBTAG00000052486	NA	chr5	-	99351038	99351158	99351056	99351158	99350516	99350570
A5SS	ENSBTAG00000039601	SAP25	chr25	+	35983453	35983601	35983453	35983587	35983663	35983790
A5SS	ENSBTAG00000047274	KIF21B	chr16	-	79571481	79571682	79571493	79571682	79570665	79570859
A5SS	ENSBTAG00000012797	DCUN1D1	chr1	+	84047503	84048156	84047503	84047604	84058740	84058904
A5SS	ENSBTAG00000012797	DCUN1D1	chr1	+	84047503	84048156	84047503	84047604	84059132	84059349
A5SS	ENSBTAG00000013449	RAB3GAP1	chr2	-	62233100	62233189	62233113	62233189	62192632	62192711
A5SS	ENSBTAG00000030951	ZNF655	chr25	-	36854585	36854971	36854804	36854971	36853472	36853635
A5SS	ENSBTAG00000012508	OSGIN1	chr18	+	10290393	10290701	10290393	10290530	10291859	10291951
A5SS	ENSBTAG00000047956	NAGLU	chr19	+	42621087	42621297	42621087	42621234	42621402	42621488
A5SS	ENSBTAG00000000489	WDR54	chr11	-	10202383	10202546	10202392	10202546	10202115	10202190
A5SS	ENSBTAG00000012117	ATP6AP1	chrX	+	37492651	37492862	37492651	37492845	37494147	37494233
